date;MVBCH
20170831;1000
20170901;1087.26
20170902;974.03
20170903;1008.43
20170904;864.7
20170905;904.8
20170906;1083.46
20170907;1122.18
20170908;1027.89
20170909;984.97
20170910;950.68
20170911;949.15
20170912;940.24
20170913;877.63
20170914;719.07
20170915;698.25
20170916;717.97
20170917;747.12
20170918;798.62
20170919;829.68
20170920;850.66
20170921;741.13
20170922;675.77
20170923;716.01
20170924;711.3
20170925;757.31
20170926;760.59
20170927;767.14
20170928;787.65
20170929;751.12
20170930;748.14
20171001;712.74
20171002;695.89
20171003;667.71
20171004;614.78
20171005;599.26
20171006;618.99
20171007;597.21
20171008;597.37
20171009;520.89
20171010;529.82
20171011;522.29
20171012;535.37
20171013;529.66
20171014;540.89
20171015;520.51
20171016;525.27
20171017;602.67
20171018;540.88
20171019;550.1
20171020;552.63
20171021;532.74
20171022;560.17
20171023;519.46
20171024;553.83
20171025;545.96
20171026;564.78
20171027;601.76
20171028;626.49
20171029;762.82
20171030;775.2
20171031;760.3
20171101;819.59
20171102;763.32
20171103;1143.06
20171104;1047.76
20171105;980.42
20171106;1046.02
20171107;1005.19
20171108;1068.55
20171109;1048.98
20171110;1392.86
20171111;2100.4
20171112;2513.8
20171113;2197.75
20171114;2227.61
20171115;2031.42
20171116;1716.28
20171117;1834.75
20171118;2164.81
20171119;1972.46
20171120;2002.46
20171121;2031.62
20171122;2117.46
20171123;2524.89
20171124;2785.39
20171125;2666.14
20171126;2636.24
20171127;2701.62
20171128;2550.14
20171129;2580.71
20171130;2078.85
20171201;2369.14
20171202;2376.9
20171203;2648.19
20171204;2538.39
20171205;2465.61
20171206;2476.21
20171207;2159.44
20171208;2382.11
20171209;2388.31
20171210;2203.21
20171211;2332.74
20171212;2581.1
20171213;2705.43
20171214;3106.05
20171215;2936.02
20171216;2984.26
20171217;3060.51
20171218;3825.24
20171219;3926.15
20171220;6761.07
20171221;5219.94
20171222;3955.71
20171223;5393.33
20171224;4521.91
20171225;4690.35
20171226;4780.36
20171227;4444.71
20171228;4059.96
20171229;4684.33
20171230;3586.19
20171231;4135.09
20180101;3859.94
20180102;4507.77
20180103;4401.63
20180104;4083.29
