date;MVFLTR
20110210;1000.00
20110211;1000.66
20110214;1000.99
20110215;1001.75
20110216;1002.24
20110217;1002.51
20110218;1002.42
20110221;1002.42
20110222;1002.65
20110223;1002.95
20110224;1003.01
20110225;1003.23
20110228;1003.42
20110301;1003.68
20110302;1004.12
20110303;1003.84
20110304;1004.12
20110307;1004.46
20110308;1005.08
20110309;1005.32
20110310;1005.35
20110311;1005.55
20110314;1005.70
20110315;1005.14
20110316;1005.25
20110317;1005.66
20110318;1005.69
20110321;1005.14
20110322;1005.17
20110323;1006.06
20110324;1006.26
20110325;1006.32
20110328;1006.94
20110329;1007.49
20110330;1007.49
20110331;1007.84
20110401;1007.91
20110404;1007.02
20110405;1007.16
20110406;1007.54
20110407;1007.50
20110408;1007.56
20110411;1007.63
20110412;1007.54
20110413;1008.64
20110414;1008.57
20110415;1008.57
20110418;1008.82
20110419;1008.87
20110420;1008.65
20110421;1009.05
20110425;1008.92
20110426;1009.30
20110427;1009.30
20110428;1009.15
20110429;1009.52
20110502;1009.55
20110503;1009.59
20110504;1009.73
20110505;1009.72
20110506;1009.81
20110509;1009.86
20110510;1009.64
20110511;1009.62
20110512;1009.56
20110513;1009.47
20110516;1009.44
20110517;1009.44
20110518;1009.15
20110519;1009.21
20110520;1009.15
20110523;1009.49
20110524;1009.39
20110525;1009.40
20110526;1009.09
20110527;1008.96
20110530;1008.96
20110531;1008.52
20110601;1008.58
20110602;1008.83
20110603;1008.49
20110606;1007.93
20110607;1007.69
20110608;1007.25
20110609;1006.85
20110610;1006.61
20110613;1006.24
20110614;1006.40
20110615;1006.55
20110616;1006.48
20110617;1006.07
20110620;1005.80
20110621;1005.83
20110622;1005.56
20110623;1005.46
20110624;1005.03
20110627;1004.80
20110628;1004.28
20110629;1004.22
20110630;1004.91
20110701;1004.91
20110704;1004.91
20110705;1005.06
20110706;1005.00
20110707;1005.07
20110708;1004.98
20110711;1005.21
20110712;1005.28
20110713;1004.94
20110714;1005.34
20110715;1004.58
20110718;1004.55
20110719;1004.35
20110720;1004.15
20110721;1003.51
20110722;1003.24
20110725;1003.21
20110726;1003.68
20110727;1003.73
20110728;1003.84
20110729;1003.69
20110801;1003.20
20110802;1003.35
20110803;1003.35
20110804;1002.79
20110805;1002.05
20110808;1001.40
20110809;999.01
20110810;998.04
20110811;997.23
20110812;994.47
20110815;993.59
20110816;993.67
20110817;993.54
20110818;992.86
20110819;992.20
20110822;991.58
20110823;990.75
20110824;986.45
20110825;986.77
20110826;985.86
20110829;985.45
20110830;985.58
20110831;985.64
20110901;987.74
20110902;987.74
20110905;987.74
20110906;988.31
20110907;987.64
20110908;987.17
20110909;985.84
20110912;985.16
20110913;984.69
20110914;984.19
20110915;984.15
20110916;982.96
20110919;983.01
20110920;982.72
20110921;981.63
20110922;979.68
20110923;975.79
20110926;974.90
20110927;973.87
20110928;973.52
20110929;973.06
20110930;973.33
20111003;972.25
20111004;970.81
20111005;967.34
20111006;964.50
20111007;965.17
20111010;966.52
20111011;966.59
20111012;966.49
20111013;966.96
20111014;967.23
20111017;967.45
20111018;967.32
20111019;967.32
20111020;968.65
20111021;969.08
20111024;970.40
20111025;971.00
20111026;972.43
20111027;972.97
20111028;974.25
20111031;974.94
20111101;975.67
20111102;975.53
20111103;975.12
20111104;975.58
20111107;975.31
20111108;975.82
20111109;975.89
20111110;976.10
20111111;976.81
20111114;976.88
20111115;976.61
20111116;976.43
20111117;974.80
20111118;974.63
20111121;974.62
20111122;972.95
20111123;971.74
20111124;971.74
20111125;969.46
20111128;968.90
20111129;968.71
20111130;967.77
20111201;967.02
20111202;966.81
20111205;966.88
20111206;966.35
20111207;966.38
20111208;966.93
20111209;965.59
20111212;965.34
20111213;965.46
20111214;965.05
20111215;965.01
20111216;965.29
20111219;965.45
20111220;965.84
20111221;966.15
