date;MVMVS;MVMVSTR;MVMVSTRG
20091231;1000.00;1000.00;1000.00
20100104;1004.01;1004.01;1004.01
20100105;1014.74;1014.74;1014.74
20100106;1023.86;1023.86;1023.86
20100107;1020.82;1020.82;1020.82
20100108;1016.05;1016.46;1016.63
20100111;1020.18;1020.59;1020.76
20100112;1014.78;1015.19;1015.36
20100113;1009.88;1010.28;1010.46
20100114;1006.33;1006.74;1006.91
20100115;1006.63;1007.03;1007.21
20100118;1006.17;1006.57;1006.74
20100119;989.40;989.80;989.97
20100120;998.64;999.04;999.21
20100121;985.57;985.97;986.14
20100122;969.64;970.03;970.19
20100125;961.95;962.33;962.50
20100127;943.25;943.63;943.79
20100128;951.45;951.83;952.00
20100129;936.73;937.10;937.27
20100201;926.85;927.22;927.38
20100202;937.73;938.11;938.27
20100203;940.78;941.16;941.32
20100204;932.72;933.09;933.25
20100205;917.05;917.42;917.58
20100208;911.89;912.54;912.70
20100209;916.89;917.54;917.70
20100210;924.73;925.39;925.55
20100211;934.86;935.53;935.69
20100212;933.31;933.97;934.14
20100215;925.67;926.99;927.15
20100216;930.92;932.25;932.41
20100217;952.41;953.77;953.93
20100218;956.94;958.30;958.47
20100219;949.12;950.47;950.63
20100222;957.72;959.35;959.51
20100223;960.98;962.62;962.78
20100224;961.67;963.30;963.47
20100225;955.52;957.62;957.94
20100226;953.59;955.69;956.01
20100301;968.06;971.44;971.76
20100302;969.43;973.70;974.20
20100303;978.83;986.06;987.17
20100304;977.09;986.16;987.27
20100305;979.36;988.45;989.56
20100308;986.93;996.09;997.22
20100309;991.20;1001.31;1002.44
20100310;984.53;995.31;996.43
20100311;979.50;990.41;991.52
20100312;975.60;986.47;987.58
20100315;971.41;984.64;985.86
20100316;969.48;982.69;983.91
20100317;981.46;994.83;996.06
20100318;989.63;1003.12;1004.36
20100319;992.94;1006.47;1007.71
20100322;988.15;1001.62;1002.85
20100323;992.44;1005.96;1007.20
20100324;991.62;1005.13;1006.37
20100325;978.46;993.80;995.35
20100326;975.86;991.84;993.39
20100329;978.06;994.07;995.63
20100330;981.50;997.57;999.13
20100331;961.81;977.56;979.09
20100401;962.33;978.09;979.62
20100406;976.97;992.96;994.52
20100407;983.92;1000.03;1001.59
20100408;986.01;1002.16;1003.72
20100409;988.39;1004.58;1006.15
20100412;999.09;1015.45;1017.04
20100413;996.44;1012.76;1014.34
20100414;1001.03;1017.42;1019.01
20100415;1002.17;1018.58;1020.17
20100416;997.50;1013.83;1015.41
20100419;983.64;999.75;1001.31
20100420;983.44;999.55;1001.11
20100421;992.85;1009.11;1010.69
20100422;992.63;1008.89;1010.46
20100423;995.83;1012.24;1013.87
20100427;999.09;1015.56;1017.19
20100428;979.03;995.16;996.77
20100429;976.93;993.04;994.63
20100430;979.50;995.64;997.24
20100503;979.27;995.41;997.01
20100504;967.92;983.88;985.46
20100505;950.19;965.85;967.40
20100506;941.30;956.82;958.36
20100507;916.29;931.39;932.89
20100510;933.97;949.36;950.89
20100511;930.46;945.79;947.32
20100512;940.84;956.35;957.89
20100513;955.08;970.82;972.38
20100514;946.45;962.05;963.60
20100517;914.22;929.29;930.78
20100518;914.70;929.77;931.27
20100519;898.45;913.26;914.73
20100520;882.99;897.54;898.99
20100521;878.56;893.04;894.48
20100524;888.61;903.25;904.70
20100525;864.10;878.34;879.76
20100526;866.83;881.12;882.53
20100527;879.31;893.80;895.24
20100528;898.80;913.61;915.08
20100531;895.86;910.62;912.09
20100601;891.15;905.84;907.29
20100602;881.07;895.59;897.03
20100603;899.27;914.10;915.57
20100604;890.72;905.40;906.86
20100607;862.53;876.75;878.16
20100608;872.53;886.92;888.34
20100609;868.63;882.94;884.36
20100610;879.84;894.35;895.78
20100611;893.23;907.95;909.41
20100615;899.90;915.66;917.13
20100616;917.86;933.93;935.43
20100617;915.27;931.30;932.79
20100618;921.59;937.73;939.24
20100621;932.22;948.54;950.07
20100622;920.75;936.87;938.38
20100623;902.82;918.63;920.11
20100624;902.29;922.30;925.41
20100625;894.30;914.13;917.22
20100628;883.35;902.94;905.99
20100629;870.72;890.03;893.03
20100630;862.83;881.96;884.94
20100701;850.04;868.89;871.82
20100702;863.42;882.56;885.54
20100705;860.89;879.98;882.95
20100706;868.68;887.94;890.94
20100707;856.65;875.98;879.08
20100708;879.14;898.98;902.17
20100709;888.36;908.40;911.62
20100712;891.35;911.47;914.69
20100713;890.25;910.33;913.56
20100714;905.22;925.64;928.92
20100715;902.40;922.76;926.02
20100716;900.54;920.86;924.12
20100719;881.71;901.60;904.79
20100720;891.80;911.93;915.16
20100721;897.48;917.73;920.98
20100722;892.78;912.93;916.16
20100723;908.87;929.38;932.67
20100726;917.33;938.03;941.35
20100727;917.23;937.93;941.25
20100728;920.78;941.56;944.89
20100729;917.90;938.61;941.93
20100730;910.67;931.22;934.52
20100802;920.66;941.43;944.77
20100803;929.70;950.67;954.04
20100804;923.54;944.39;947.73
20100805;934.77;955.86;959.25
20100806;935.66;956.77;960.16
20100809;938.46;959.63;963.03
20100810;931.30;952.32;955.69
20100811;916.68;937.37;940.68
20100812;901.07;921.41;924.67
20100813;911.77;932.34;935.64
20100816;910.21;931.47;934.77
20100817;927.67;949.34;952.70
20100818;926.14;947.77;951.13
20100819;930.37;952.11;955.48
20100820;913.68;935.03;938.34
20100823;918.05;939.71;943.04
20100824;911.78;933.63;936.93
20100825;895.69;918.03;921.28
20100826;897.91;921.99;925.98
20100827;900.29;924.44;928.44
20100830;920.98;945.89;949.99
20100831;916.72;941.82;946.02
20100901;929.78;957.81;962.23
20100902;937.08;965.53;969.99
20100903;946.99;976.59;981.10
20100906;960.41;992.29;997.07
20100907;959.73;991.58;996.36
20100908;949.51;981.03;985.76
20100909;955.08;988.29;993.16
20100910;950.42;984.42;989.27
20100913;960.46;996.53;1001.44
20100914;970.68;1007.14;1012.10
20100915;979.87;1016.67;1021.68
20100916;973.60;1010.91;1015.89
20100917;977.68;1015.15;1020.15
20100920;978.85;1016.36;1021.37
20100921;975.28;1012.84;1017.83
20100922;980.53;1018.30;1023.31
20100923;975.44;1013.01;1018.00
20100924;968.95;1007.33;1012.52
20100927;984.47;1023.46;1028.74
20100928;988.00;1027.13;1032.42
20100929;984.92;1023.93;1029.21
20100930;975.40;1014.03;1019.26
20101001;969.24;1008.00;1013.20
20101004;974.06;1013.01;1018.24
20101005;973.17;1012.48;1017.70
20101006;986.78;1026.65;1031.94
20101007;989.65;1029.63;1034.94
20101008;986.64;1026.50;1031.79
20101011;991.15;1031.38;1036.75
20101012;976.32;1015.94;1021.23
20101013;979.01;1018.75;1024.05
20101014;988.54;1028.80;1034.15
20101015;986.72;1026.91;1032.25
20101018;985.00;1025.12;1030.45
20101019;986.39;1026.56;1031.90
20101020;984.01;1024.09;1029.42
20101021;989.57;1029.87;1035.23
20101022;991.94;1032.34;1037.71
20101025;1003.42;1044.29;1049.73
20101026;1002.61;1043.44;1048.87
20101027;989.79;1030.10;1035.46
20101028;996.97;1038.38;1044.42
20101029;993.78;1035.05;1041.06
20101101;1003.72;1045.41;1051.49
20101102;999.30;1040.81;1046.86
20101103;1004.68;1046.40;1052.48
20101104;1009.95;1051.90;1058.01
20101105;1018.31;1060.60;1066.77
20101108;1016.60;1058.83;1064.98
20101109;1012.79;1054.85;1060.98
20101110;1002.50;1044.13;1050.20
20101111;1002.79;1044.44;1050.51
20101112;997.81;1039.25;1045.29
20101115;997.06;1038.47;1044.50
20101116;999.61;1041.12;1047.17
20101117;982.33;1023.13;1029.07
20101118;981.28;1022.03;1027.97
20101119;984.37;1025.25;1031.21
20101122;991.16;1032.33;1038.33
20101123;976.61;1017.17;1023.08
20101124;975.65;1016.17;1022.08
20101125;971.64;1011.99;1017.87
20101126;969.61;1009.88;1015.75
